NO,Strip,Speed,MMS_measure,RTK_measure
14,009+300_010+000_FWD.las,30,(678411.560;1527288.550;-29.360),(678411.533;1527288.589;-29.356)
15,009+300_010+000_FWD.las,30,(678679.559;1527097.680;-28.810),(678679.553;1527097.762;-28.844)
13,009+300_010+000_REV.las,30,(678666.340;1527065.860;-28.870),(678666.393;1527065.835;-28.890)
12,009+300_010+000_REV.las,30,(678391.410;1527259.310;-29.600),(678391.341;1527259.305;-29.595)
16,010+000_011+000_FWD.las,30,(679087.550;1527055.600;-28.660),(679087.575;1527055.660;-28.688)
01,010+000_011+000_FWD.las,30,(679471.850;1527234.360;-28.230),(679471.777;1527234.408;-28.273)
02,010+000_011+000_FWD.las,30,(679886.000;1527384.780;-28.450),(679885.955;1527384.827;-28.482)
11,010+000_011+000_REV.las,30,(679096.000;1527033.110;-28.720),(679095.989;1527033.098;-28.734)
10,010+000_011+000_REV.las,30,(679468.460;1527205.690;-28.330),(679468.435;1527205.682;-28.321)
09,010+000_011+000_REV.las,30,(679883.570;1527356.870;-28.450),(679883.581;1527356.883;-28.449)
03,011+000_012+000_FWD.las,30,(680265.209;1527515.070;-28.690),(680265.197;1527515.106;-28.708)
04,011+000_012+000_FWD.las,30,(680677.410;1527698.020;-28.480),(680677.419;1527698.100;-28.499)
08,011+000_012+000_REV.las,30,(680268.140;1527490.340;-28.690),(680268.134;1527490.313;-28.702)
07,011+000_012+000_REV.las,30,(680734.200;1527597.940;-28.470),(680734.242;1527597.892;-28.469)
05,012+000_012+419_FWD.las,30,(681193.950;1527766.530;-28.400),(681193.957;1527766.597;-28.412)
06,012+000_012+407_REV.las,30,(681222.890;1527696.770;-28.550),(681222.923;1527696.746;-28.567)
14,009+300_010+000_FWD.las,60,(678411.550;1527288.580;-29.350),(678411.533;1527288.589;-29.356)
15,009+300_010+000_FWD.las,60,(678679.570;1527097.710;-28.830),(678679.553;1527097.762;-28.844)
12,009+300_010+000_REV.las,60,(678666.480;1527065.830;-28.890),(678666.393;1527065.835;-28.890)
16,010+000_011+000_FWD.las,60,(679087.600;1527055.640;-28.670),(679087.575;1527055.660;-28.688)
01,010+000_011+000_FWD.las,60,(679471.800;1527234.380;-28.260),(679471.777;1527234.408;-28.273)
02,010+000_011+000_FWD.las,60,(679885.980;1527384.830;-28.480),(679885.955;1527384.827;-28.482)
11,010+000_011+000_REV.las,60,(679095.960;1527033.120;-28.720),(679095.989;1527033.098;-28.734)
10,010+000_011+000_REV.las,60,(679468.340;1527205.650;-28.320),(679468.435;1527205.682;-28.321)
09,010+000_011+000_REV.las,60,(679883.670;1527356.900;-28.460),(679883.581;1527356.883;-28.449)
03,011+000_012+000_FWD.las,60,(680265.190;1527515.100;-28.700),(680265.197;1527515.106;-28.708)
04,011+000_012+000_FWD.las,60,(680677.360;1527698.030;-28.510),(680677.419;1527698.100;-28.499)
08,011+000_012+000_REV.las,60,(680268.190;1527490.330;-28.680),(680268.134;1527490.313;-28.702)
07,011+000_012+000_REV.las,60,(680734.270;1527597.890;-28.460),(680734.242;1527597.892;-28.469)
05,012+000_012+419_FWD.las,60,(681193.940;1527766.550;-28.390),(681193.957;1527766.597;-28.412)
06,012+000_012+407_REV.las,60,(681222.880;1527696.760;-28.560),(681222.923;1527696.746;-28.567)